,00K8004,00K8003,00K50010,00K3509,00K2006,00K16001,00K10006,00E8007,00E8006,00E8005,00E8004,00E6004,00E4005,00E40011,00E40010,00E3009,00E3008,00E3007,00E3006,00E2759,00E27510,00E17006,00E15007,00E15006,00E15005,00E11007,00E11006,00E11004,00SD1100,00K5009,00K50011,00K10001
0,F04916008001B,F04916017001A,F04916006001B,I05415065001A,I02717004001A,F02813002007A,I03306112010A,F04916023001A,F02917008003A,F02917002004A,F05115010003A,I05415162001A,F02917010004A,I02010025017A,F01620010001A,F05115007006A,I02917023002A,I00412013001A,F04916074001B,I04916034001A,F04916070001B,F04916019001A,F04916026002A,F05016004002A,F04916080001D,F02717006001A,F04916030002A,F03315003007A,F04016050001A,F04016062003A,F01906007016A,F04016101001A
1,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,F00418052001A,,,,,,,F02717006001A,,,,,,
2,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,F00418052001A,,,,,,,F02717006001A,,,,,,
3,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,F00418052001A,,,,,,,F02717006001A,,,,,,
4,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,F00418052001A,,,,,,,F02717006001A,,,,,,
5,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,F00418052001A,,,,,,,F02717006001A,,,,,,
6,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,F00418052001A,,,,,,,F02717006001A,,,,,,
7,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,F00418052001A,,,,,,,F02717006001A,,,,,,
8,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,F00418052001A,,,,,,,F02717006001A,,,,,,
9,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,F00418052001A,,,,,,,F02717006001A,,,,,,
10,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,F00418052001A,,,,,,,F02717006001A,,,,,,
11,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,F00418052001A,,,,,,,F02717006001A,,,,,,
12,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,F00418052001A,,,,,,,F02717006001A,,,,,,
13,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,F00418052001A,,,,,,,F02717006001A,,,,,,
14,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,F00418052001A,,,,,,,F02717006001A,,,,,,
15,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,F00418052001A,,,,,,,F02717006001A,,,,,,
16,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,F00418052001A,,,,,,,F02717006001A,,,,,,
17,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,F00418052001A,,,,,,,F02717006001A,,,,,,
18,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,F00418052001A,,,,,,,F02717006001A,,,,,,
19,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,F00418052001A,,,,,,,F02717006001A,,,,,,
20,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,F00418052001A,,,,,,,F02717006001A,,,,,,
21,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,F00418052001A,,,,,,,F02717006001A,,,,,,
22,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,F00418052001A,,,,,,,F02717006001A,,,,,,
23,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,F00418052001A,,,,,,,F02717006001A,,,,,,
24,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,F00418052001A,,,,,,,F02717006001A,,,,,,
25,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,F00418052001A,,,,,,,F02717006001A,,,,,,
26,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,F00418052001A,,,,,,,F02717006001A,,,,,,
27,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,F00418052001A,,,,,,,F02717006001A,,,,,,
28,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,F00418052001A,,,,,,,F02717006001A,,,,,,
29,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,F00418052001A,,,,,,,F02717006001A,,,,,,
30,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,F00418052001A,,,,,,,F02717006001A,,,,,,
31,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,F00418052001A,,,,,,,F02717006001A,,,,,,
32,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,F00418052001A,,,,,,,F02717006001A,,,,,,
33,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,F00418052001A,,,,,,,F02717006001A,,,,,,
34,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,F00418052001A,,,,,,,F02717006001A,,,,,,
35,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,F00418052001A,,,,,,,F02717006001A,,,,,,
36,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,F00418052001A,,,,,,,F02717006001A,,,,,,
37,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,F00418052001A,,,,,,,F02717006001A,,,,,,
38,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,F00418052001A,,,,,,,F02717006001A,,,,,,
39,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,F00418052001A,,,,,,,F02717006001A,,,,,,
40,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,F00418052001A,,,,,,,F02717006001A,,,,,,
41,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,F00418052001A,,,,,,,F02717006001A,,,,,,
42,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,F00418052001A,,,,,,,F02717006001A,,,,,,
43,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,F00418052001A,,,,,,,F02717006001A,,,,,,
44,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,F00418052001A,,,,,,,F02717006001A,,,,,,
45,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,F00418052001A,,,,,,,F02717006001A,,,,,,
46,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,F00418052001A,,,,,,,F02717006001A,,,,,,
47,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,F00418052001A,,,,,,,F02717006001A,,,,,,
48,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415046001A,,,,,,,F02717006001A,,,,,,
49,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415046001A,,,,,,,,,,,,,
50,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415046001A,,,,,,,,,,,,,
51,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415046001A,,,,,,,,,,,,,
52,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415046001A,,,,,,,,,,,,,
53,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415046001A,,,,,,,,,,,,,
54,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415046001A,,,,,,,,,,,,,
55,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415046001A,,,,,,,,,,,,,
56,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415046001A,,,,,,,,,,,,,
57,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415046001A,,,,,,,,,,,,,
58,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415046001A,,,,,,,,,,,,,
59,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415046001A,,,,,,,,,,,,,
60,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415046001A,,,,,,,,,,,,,
61,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415046001A,,,,,,,,,,,,,
62,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415046001A,,,,,,,,,,,,,
63,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415046001A,,,,,,,,,,,,,
64,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415046001A,,,,,,,,,,,,,
65,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415046001A,,,,,,,,,,,,,
66,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415046001A,,,,,,,,,,,,,
67,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415046001A,,,,,,,,,,,,,
68,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415046001A,,,,,,,,,,,,,
69,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415046001A,,,,,,,,,,,,,
70,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415046001A,,,,,,,,,,,,,
71,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415046001A,,,,,,,,,,,,,
72,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415046001A,,,,,,,,,,,,,
73,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415046001A,,,,,,,,,,,,,
74,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415046001A,,,,,,,,,,,,,
75,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415046001A,,,,,,,,,,,,,
76,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415046001A,,,,,,,,,,,,,
77,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415046001A,,,,,,,,,,,,,
78,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415044001A,,,,,,,,,,,,,
79,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415044001A,,,,,,,,,,,,,
80,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415044001A,,,,,,,,,,,,,
81,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415044001A,,,,,,,,,,,,,
82,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415044001A,,,,,,,,,,,,,
83,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415044001A,,,,,,,,,,,,,
84,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415044001A,,,,,,,,,,,,,
85,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415044001A,,,,,,,,,,,,,
86,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415044001A,,,,,,,,,,,,,
87,,F04916015002A,,,,,,,,,,,,,F01620010001A,,,,I05415044001A,,,,,,,,,,,,,
